Digital source name,Digital source code,Compositions,Composer
© Bayerische Staatsbibliothek,"<a href=""https://www.digitale-sammlungen.de/en/view/bsb11451961?q=%28%22lodi+della+musica%22+verovio%29&page=,1""> © Bayerische Staatsbibliothek </a>",Al suon di Cornamusa,"Anerio, Felice"
© Bayerische Staatsbibliothek,"<a href=""https://www.digitale-sammlungen.de/en/view/bsb11451961?q=%28%22lodi+della+musica%22+verovio%29&page=,1""> © Bayerische Staatsbibliothek </a>",Quand'il fido Pastore,"del Mel, Rinaldo"
© Bayerische Staatsbibliothek,"<a href=""https://www.digitale-sammlungen.de/en/view/bsb00074058?page=,1""> © Bayerische Staatsbibliothek </a>",Se'l raggio de vostr'occhi m'arde il core,"Marenzio, Luca"
© Bayerische Staatsbibliothek,"<a href=""https://www.digitale-sammlungen.de/en/view/bsb00074058?page=,1""> © Bayerische Staatsbibliothek </a>",O mio soave foco,"Stabile, Pompeo"
© Bayerische Staatsbibliothek,"<a href=""https://www.digitale-sammlungen.de/en/view/bsb00074058?page=,1""> © Bayerische Staatsbibliothek </a>",Tal da vostri occhi foco,"Quagliati, Paolo"
© Bayerische Staatsbibliothek,"<a href=""https://www.digitale-sammlungen.de/en/view/bsb00074058?page=,1""> © Bayerische Staatsbibliothek </a>",Pose un gran foco nel mio petto Amore,"da Palestrina, Giovanni Pierluigi "
© Bayerische Staatsbibliothek,"<a href=""https://www.digitale-sammlungen.de/en/view/bsb00074058?page=,1""> © Bayerische Staatsbibliothek </a>",Spesso il canto ad amare,"Griffi, Orazio"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/BB/BB310/""> © Biblioteca della Musica di Bologna </a>",Ahi Serpentella,"Saracini, Claudio"
© Bibliothèque nationale de France,"<a href=""https://gallica.bnf.fr/ark:/12148/bpt6k1280267q.r=kapsberger%20villanelle?rk=64378;0"" >© Bibliothèque nationale de France </a>",D'una guancia alma ridente,"Kaspberger, Giovanni  Girolamo"
IMSLP,"<a href=""https://imslp.org/wiki/Salmi_passaggiati_per_tutte_le_voci_nella_maniera_che_si_cantano_in_Roma_(Severi%2C_Francesco)""> IMSLP </a> ",Confitebor tibi Domine,"Severi, Francesco"
IMSLP,"<a href=""https://imslp.org/wiki/Diletto_spirituale_(Verovio%2C_Simone)""> IMSLP </a> ",O gloriosa donna Alta sopra le Stelle,"Soriano, Francesco"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_Z/Z238/""> © Biblioteca della Musica di Bologna </a>","O Monti, o colli, o prati a voi riede","Giacobbi, Girolamo"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_V/V131/""> © Biblioteca della Musica di Bologna </a>",Sulle penne de venti il Ciel varcando (Prologo La Maddalena),"Monteverdi, Claudio"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_V/V131/""> © Biblioteca della Musica di Bologna </a>",Da la fonte del core,"Guivizzani, Alessandro"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_V/V131/""> © Biblioteca della Musica di Bologna </a>",Spazziam pront'oh vecchiarelle,"Rossi, Salomone"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/AA/AA106/""> © Biblioteca della Musica di Bologna </a>",Bella Filli io son ferito,"Guazzi, Eleuterio"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/AA/AA106/""> © Biblioteca della Musica di Bologna </a>",Gioite di mille tormenti,"Guazzi, Eleuterio"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/AA/AA106/""> © Biblioteca della Musica di Bologna </a>",Dove son iti tanti piacer d'Amor,"Guazzi, Eleuterio"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/AA/AA106/""> © Biblioteca della Musica di Bologna </a>","Corri Filli, corri al prato","Guazzi, Eleuterio"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/AA/AA106/""> © Biblioteca della Musica di Bologna </a>",I Bei legami che stan'intorno,"Guazzi, Eleuterio"
© Biblioteca della Musica di Bologna,"<a href=""http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/AA/AA106/""> © Biblioteca della Musica di Bologna </a>",Così m'ha fatt'Amor (Romanesca),"Guazzi, Eleuterio"
© Bibliothèque nationale de France,"<a href=""https://gallica.bnf.fr/ark:/12148/bpt6k1280276p.r=brunetti%20euterpe?rk=21459;2"" >© Bibliothèque nationale de France </a>",Porto nel fianco il dardo,"Brunetti, Domenico"
© Bibliothèque nationale de France,"<a href=""https://gallica.bnf.fr/ark:/12148/bpt6k1280276p.r=brunetti%20euterpe?rk=21459;2"" >© Bibliothèque nationale de France </a>","Care gioie, che le noie","Brunetti, Domenico"
© Bibliothèque nationale de France,"<a href=""https://gallica.bnf.fr/ark:/12148/bpt6k1280276p.r=brunetti%20euterpe?rk=21459;2"" >© Bibliothèque nationale de France </a>",Crudel così dileggi al mio tormento,"Brunetti, Domenico"
© Library of Congress,"<a href=""https://www.loc.gov/item/2008561328/""> © Library of Congress </a>",Belle stelluzze d'oro,"de Silvestri, Florido"
