Digital source name,Digital source code,Compositions,Composer
© Bayerische Staatsbibliothek,"<a href=""https://stimmbuecher.digitale-sammlungen.de//view?id=bsb00073526""> © Bayerische Staatsbibliothek </a>",Qual maggior segno del mio ardor volete,"Gero, Jhan"
© Bayerische Staatsbibliothek,"<a href=""https://stimmbuecher.digitale-sammlungen.de//view?id=bsb00073526""> © Bayerische Staatsbibliothek </a>",Quant je boy du vin claret,"Gero, Jhan"
© Bayerische Staatsbibliothek,"<a href=""https://stimmbuecher.digitale-sammlungen.de//view?id=bsb00073526""> © Bayerische Staatsbibliothek </a>",Triste et pensif suis pour la noie,"Gero, Jhan"
© Bayerische Staatsbibliothek,"<a href=""https://stimmbuecher.digitale-sammlungen.de//view?id=bsb00073526""> © Bayerische Staatsbibliothek </a>",Ung jour Coulin,"Gero, Jhan"
EXAMENAPIUM,"<a href=""http://petrucci.mus.auth.gr/imglnks/usimg/c/c5/IMSLP158751-PMLP53564-cartella_primeira_edicao2.pdf""> EXAMENAPIUM </a>",Cartella - Il Primo Duo ,"Banchieri, Adriano"
EXAMENAPIUM,"<a href=""http://petrucci.mus.auth.gr/imglnks/usimg/c/c5/IMSLP158751-PMLP53564-cartella_primeira_edicao2.pdf""> EXAMENAPIUM </a>",Cartella - Il Secondo Duo ,"Banchieri, Adriano"
EXAMENAPIUM,"<a href=""http://petrucci.mus.auth.gr/imglnks/usimg/c/c5/IMSLP158751-PMLP53564-cartella_primeira_edicao2.pdf""> EXAMENAPIUM </a>",Cartella - Il Terzo Duo ,"Banchieri, Adriano"
EXAMENAPIUM,"<a href=""http://petrucci.mus.auth.gr/imglnks/usimg/c/c5/IMSLP158751-PMLP53564-cartella_primeira_edicao2.pdf""> EXAMENAPIUM </a>",Cartella - Il Quarto Duo ,"Banchieri, Adriano"
© Bibliothèque nationale de France,"<a href=""https://gallica.bnf.fr/ark:/12148/btv1b10511133n.r=antonia%20bembo?rk=21459;2"" >© Bibliothèque nationale de France </a>",Beata Sirena,"Bembo, Antonia"
© Bibliothèque nationale de France,"<a href=""https://gallica.bnf.fr/ark:/12148/btv1b10511133n.r=antonia%20bembo?rk=21459;2"" >© Bibliothèque nationale de France </a>",Sonetto al Re,"Bembo, Antonia"
© Bibliothèque nationale de France,"<a href=""https://gallica.bnf.fr/ark:/12148/btv1b10511133n.r=antonia%20bembo?rk=21459;2"" >© Bibliothèque nationale de France </a>",Ha que l'absence,"Bembo, Antonia"
© Bibliothèque nationale de France,"<a href=""https://gallica.bnf.fr/ark:/12148/btv1b10511133n.r=antonia%20bembo?rk=21459;2"" >© Bibliothèque nationale de France </a>",Amanti a costo di pianti,"Bembo, Antonia"
© Bayerische Staatsbibliothek,"<a href=""https://daten.digitale-sammlungen.de/~db/0011/bsb00114560/images/index.html?seite=00001&l=de""> © Bayerische Staatsbibliothek </a>",Beglückt durch dich,"von Call, Leonard"
© Bayerische Staatsbibliothek,"<a href=""http://daten.digitale-sammlungen.de/~db/0007/bsb00071910/images/index.html?seite=00001&l=de""> © Bayerische Staatsbibliothek </a>",Chi mette il piè su l'amorosa pania,"Cambio, Perissone"
© Bayerische Staatsbibliothek,"<a href=""https://stimmbuecher.digitale-sammlungen.de//view?id=bsb00075412""> © Bayerische Staatsbibliothek </a>",Chi salirà per me madonna in cielo,"de Wert, Giaches"
© Bayerische Staatsbibliothek,"<a href=""http://daten.digitale-sammlungen.de/~db/0007/bsb00075507/images/index.html?seite=00001&l=de""> © Bayerische Staatsbibliothek </a>",Dunque baciar sì belle e dolce labbia,"de Wert, Giaches"
© Bayerische Staatsbibliothek,"<a href=""http://daten.digitale-sammlungen.de/~db/0007/bsb00075507/images/index.html?seite=00001&l=de""> © Bayerische Staatsbibliothek </a>",Ma di che debbo lamentarmi ahi lassa,"de Wert, Giaches"
