Page Name,Show Name,Compositions
Mazzocchi - Musiche sacre e morali (1640),Musiche sacre e morali (1640),Giunto alla cuna - Per la Natività di Nostro Signore
Savioni - Concerti Morali e Spirituali a3 (1660),Concerti Morali e Spirituali a3 (1660),Ai disusati accenti - Per il Santissimo Natale
Savioni - Concerti Morali e Spirituali a3 (1660),Concerti Morali e Spirituali a3 (1660),Già la metà della carriera oscura - Per il Santissimo Natale
Milanuzzi - Primo Scherzo delle Ariose Vaghezze (1622),Primo Scherzo delle Ariose Vaghezze (1622),Filli quell'Auree crespe
Milanuzzi - Primo Scherzo delle Ariose Vaghezze (1622),Primo Scherzo delle Ariose Vaghezze (1622),"Ut re mi fa solo la, la dove Amore sfavilla (Scherzo Boscaroccio)"
Milanuzzi - Primo Scherzo delle Ariose Vaghezze (1622),Primo Scherzo delle Ariose Vaghezze (1622),Dolce è languir (Penar Soave)
Rodio - Aeri Raccolti Insieme (1577),Aeri Raccolti Insieme (1577),Tu che passato mio buon tempo sai
Rodio - Aeri Raccolti Insieme (1577),Aeri Raccolti Insieme (1577),Cantai un tempo e si fu dolce il canto
Rodio - Aeri Raccolti Insieme (1577),Aeri Raccolti Insieme (1577),E dove non potea la debil voce
Corradi - Le Stravaganze d'Amore (1616),Le Stravaganze d'Amore (1616),"Sono lacci, donne belle"
Corradi - Le Stravaganze d'Amore (1616),Le Stravaganze d'Amore (1616),Filli vita del mio core
Corradi - Le Stravaganze d'Amore (1616),Le Stravaganze d'Amore (1616),Oh di Euterpe il dolce canto
Corradi - Le Stravaganze d'Amore (1616),Le Stravaganze d'Amore (1616),Filli mia pena mi date
Giunta - Frottole de Misser Bartolomio Tromboncino (1520),Frottole de Misser Bartolomio Tromboncino (1520),Queste non son più lagrime che fuore
Feuillet - Recueil de Dances (1702),Recueil de Dances (1702),L'Allemande
Feuillet - Recueil de Dances (1709),Recueil de Dances (1709),La Bourgogne
Feuillet - Recueil de Dances (1709),Recueil de Dances (1709),Le Menuet d'Alcide
Feuillet - Recueil de Dances (1700),Recueil de Dances (1700),Gigue de Roland
Feuillet - Recueil de Dances (1704),Recueil de Dances (1704),Sarabande de Tancrède
Stefani - Affetti Amorosi (1621),Affetti Amorosi (1621),Dov'io credea le mie speranze avere
Franzoni - Il Secondo Libro dei Fioretti a3 (1607),Il Secondo Libro dei Fioretti a3 (1607),Deh Florinda
Verovio - Lodi della Musica a3 (1595),Lodi della Musica a3 (1595),Ai dolci e vaghi accenti
Verovio - Lodi della Musica a3 (1595),Lodi della Musica a3 (1595),Se dunqu'il dolce canto
