composer,title
Antonio Barre,Dunque fia ver dicea
Antonio Barre,Era il bel viso suo qual esser suole
Perissone Cambio,Chi mette il piè su l'amorosa pania
Giovanni Tommaso Cimello,Già in ogni parte gli animanti lassi
Ghiselin Danckerts,Fedel qual sempre fui tal esser voglio
Giulio Fiesco,Crudel di che che peccato a doler t'hai?
Bernardino Lupacchino,Il dolce sonno mi promise pace
Bernardino Lupacchino,Sotto due negri e sottilissimi archi
Vincenzo Ruffo,Corrò la fresca e matutina rosa
Vincenzo Ruffo,Ingiustissimo Amor perché sì raro
Anonymous,Verovio - La verginella è simile alla rosa
Francesco dalla Viola,La verginella è simile alla rosa
Giaches de Wert,Chi salirà per me madonna in cielo
Giaches de Wert,Dunque baciar sì belle e dolce labbia
Giaches de Wert,Ma di che debbo lamentarmi ahi lassa
Leonard von Call,Beglückt durch dich
Domenico Mazzocchi,Vide nel mezzo dell'ombrosa notte - La Notte del Santissimo Natale
Domenico Mazzocchi,Giunto alla cuna - Per la Natività di Nostro Signore
Mario Savioni,Ai disusati accenti - Per il Santissimo Natale
Mario Savioni,Già la metà della carriera oscura - Per il Santissimo Natale
Carlo Milanuzzi,Filli quell'Auree crespe 
Carlo Milanuzzi,"Ut re mi fa solo la, la dove Amore sfavilla (Scherzo Boscaroccio)"
Carlo Milanuzzi,Dolce è languir (Penar Soave)
Luigi Dentice,Tu che passato mio buon tempo sai
Luigi Dentice,Cantai un tempo e si fu dolce il canto
Rocco Rodio,E dove non potea la debil voce
Flaminio Corradi,"Sono lacci, donne belle"
Flaminio Corradi,Filli vita del mio core
Flaminio Corradi,Oh di Euterpe il dolce canto
Flaminio Corradi,Filli mia pena mi date
Bartolomeo Tromboncino,Queste non son più lagrime che fuore
Louis-Guillaume Pécour,L'Allemande
Louis-Guillaume Pécour,La Bourgogne
Louis-Guillaume Pécour,Le Menuet d'Alcide
Jean-Baptiste Lully,Gigue de Roland
André Campra,Sarabande de Tancrède
Giovanni Stefani,Dov'io credea le mie speranze avere
Amante Franzoni,Deh Florinda
Giovanni Maria Nanino,Ai dolci e vaghi accenti
Giovanni de Macque,Se dunqu'il dolce canto
Ruggiero Giovannelli,E da verdi boschetti
Felice Anerio,Al suon di Cornamusa
Rinaldo del Mel,Quand'il fido Pastore
Luca Marenzio,Se'l raggio de vostr'occhi m'arde il core
Pompeo Stabile,O mio soave foco
Paolo Quagliati,Tal da vostri occhi foco
Giovanni Pierluigi da Palestrina,Pose un gran foco nel mio petto Amore
Orazio Griffi,Spesso il canto ad amare
Claudio Saracini,Ahi Serpentella
Giovanni Girolamo Kapsberger,D'una guancia alma ridente
Giovanni Matteo Asola,Letanie (Kyrie)
Giovanni Matteo Asola,Hymni
Giovanni Matteo Asola,Letanie Beata Virginis
Giovanni Filippo Cavalliere,Falsibordoni (Il Scolaro Principiante)
Giovanni Filippo Cavalliere,Hinno per il Natale (Christe Redemptor omnium)
Giovanni Battista Bovicelli,"Falsibordoni (Regole, Passaggi di Musica)"
Giovanni Battista Bovicelli,Magnificat passaggiato (Giovannelli)
Bartolomeo Ratti,Nisi Dominus
Serafino Cantone,De Profundis
Francesco Severi,Confitebor tibi Domine
"Soriano, Francesco",O gloriosa donna Alta sopra le Stelle
