Page Name,Show Name,Collections
"Antico, Andrea","Antico, Andrea","Canzoni, Sonetti, Strambotti et Frottole Libro Tertio (1517)"
"Baldini, Vittorio","Baldini, Vittorio",Agostini - Il Nuovo Echo a5 (1583)
"Baldini, Vittorio","Baldini, Vittorio",Il lauro secco (1582)
"de Buglhat, Giovanni","de Buglhat, Giovanni",Rore - Il Primo Libro dei Madrigali (1550)
"de Buglhat, Giovanni","de Buglhat, Giovanni",Viola - Il Primo Libro dei Madrigali (1539)
"De' Rossi, Francesco","De' Rossi, Francesco",Luzzaschi - Primo libro Madrigali a5 (1571)
"Gardano, Angelo","Gardano, Angelo",Ingegneri - Secondo libro dei Madrigali a4 (1579)
"Gardano, Angelo","Gardano, Angelo",Il lauro secco (1582)
"Gardano, Angelo","Gardano, Angelo",Vecchi - Canzonette a tre voci (1597)
"Gardano, Antonio","Gardano, Antonio",Festa - Primo libro dei Madrigali a tre voci (1556)
"Gardano, Antonio","Gardano, Antonio",Missae quatuor vocum (1573)
"Gardano, Antonio","Gardano, Antonio",Di Verdelot tutti i madrigali del Primo e Secondo libro (1556)
"Grignani, Lodovico","Grignani, Lodovico",Mazzocchi - Musiche Sacre e Morali (1640)
"Petrucci, Ottaviano","Petrucci, Ottaviano",Harmonice Musices Odhecaton (1501)
"Phalèse, Pierre the Younger","Phalèse, Pierre the Younger",De’ floridi virtuosi d’Italia (1600)
"Scotto, Girolamo","Scotto, Girolamo",Musica quinque vocum motetta materna lingua vocata (1543)
"Scotto, Melchiorre","Scotto, Melchiorre",Primavera - I Frutti di Giovan Leonardo Primavera Libro Quarto (1573)
"Verovio, Simone","Verovio, Simone",Luzzaschi - Madrigali (1601)
"Vincenti, Giacomo","Vincenti, Giacomo",Aleotti - Girlanda de Madrigali a4 (1593)
"Gardano, Angelo","Gardano, Angelo",Wert - L'Undicesimo Libro dei Madrigali a5 (1595)
"Scotto, Girolamo","Scotto, Girolamo",Willaert - Musica Quatuor Vocum Liber Primus (1539)
"Petrucci, Ottaviano","Petrucci, Ottaviano",Petrucci - Frottole Libro VI (1505)
"Petrucci, Ottaviano","Petrucci, Ottaviano",Petrucci - Frottole Libro II (1504)
"Gardano, Antonio","Gardano, Antonio",De' Diversi Autori Quarto Libro a4 (1554)
"Gardano, Antonio","Gardano, Antonio",Musica quatuor vocum Paribus vocibus (1549)
"Gardano, Antonio","Gardano, Antonio",Gardano - Il Primo Libro de Canzoni Francese a2 (1564)
"Gardano, Antonio","Gardano, Antonio",Gero - Il Primo Libro de Madregali a2 (1552)
"Vincenti, Giacomo","Vincenti, Giacomo",Banchieri - Cartella ovvero Regole Utilissime (1601)
"Schott, Bernhard ","Schott, Bernhard ",Auswahl von Arien n. 42 (1811)
"Gardano, Antonio","Gardano, Antonio",Cambio - Il Primo Libro di Madrigali a4 (1547)
"Gardano, Antonio","Gardano, Antonio",Gardano - Il Secondo Libro dei Madregali Ariosi (1560)
"Scotto, Girolamo","Scotto, Girolamo",Wert - Il Primo Libro dei Madrigali a4 (1561)
"Barré, Antonio","Barré, Antonio",Gardano - Il Secondo Libro dei Madregali Ariosi (1560)
"Scotto, Girolamo","Scotto, Girolamo",Ruffo - Il Primo Libro dei Madrigali a4 a Note Negre (1545)
"Barré, Antonio","Barré, Antonio",Barre - Il Terzo Libro delle Muse a4 (1562)
"Gardano, Antonio","Gardano, Antonio",Cimello - Il Primo Libro dei Canti a4 (1548)
"Amadino, Ricciardo","Amadino, Ricciardo",Asola - Falsibordoni per cantar salmi (1592)
"Vincenti, Giacomo","Vincenti, Giacomo",Bovicelli - Regole Passaggi di Musica (1594)
"Tradate, Agostino","Tradate, Agostino",Cantone - Vesperi a Versetti et Falsibordoni a5 (1602)
Nucci,Nucci,Cavalliere - Il Scolaro Principiante di Musica (1634)
"Amadino, Ricciardo","Amadino, Ricciardo",Ratti - Li Brevi Salmi Intieri (1605)
"Gardano, Antonio","Gardano, Antonio",Fiesco - Il Primo Libro di Madrigali a4 (1554)
"Gardano, Antonio","Gardano, Antonio",Lupacchino - Il Secondo Libro di Madrigali a4 (1546)
"Verovio, Simone","Verovio, Simone",Verovio - Canzonette a Quattro Voci (1592)
"Gardano, Antonio","Gardano, Antonio",Gardano - Madrigali della Fama a4 (1548)
"Fei, Iacopo","Fei, Iacopo",Savioni - Concerti Morali e Spirituali a3 (1660)
"Magni, Bartolomeo","Magni, Bartolomeo",Milanuzzi - Primo Scherzo delle Ariose Vaghezze (1622)
"Rodio, Rocco","Rodio, Rocco",Rodio - Aeri Raccolti Insieme (1577)
"Vincenti, Giacomo","Vincenti, Giacomo",Corradi - Le Stravaganze d'Amore (1616)
"Giunta, Luca Antonio ","Giunta, Luca Antonio ",Giunta - Frottole de Misser Bartolomio Tromboncino (1520)
"Feuillet, Raoul Auger","Feuillet, Raoul Auger",Feuillet - Recueil de Dances (1702)
"Feuillet, Raoul Auger","Feuillet, Raoul Auger",Feuillet - Recueil de Dances (1709)
"Feuillet, Raoul Auger","Feuillet, Raoul Auger",Feuillet - Recueil de Dances (1700)
"Feuillet, Raoul Auger","Feuillet, Raoul Auger",Feuillet - Recueil de Dances (1704)
"Vincenti, Alessandro","Vincenti, Alessandro",Stefani - Affetti Amorosi (1621)
"Amadino, Ricciardo","Amadino, Ricciardo",Franzoni - Il Secondo Libro dei Fioretti a3 (1607)
"Verovio, Simone","Verovio, Simone",Verovio - Lodi della Musica a3 (1595)
"Vincenti, Alessandro","Vincenti, Alessandro",Saracini - Le Terze Musiche (1620)
"Robletti, Giovanni Battista","Robletti, Giovanni Battista",Kapsberger - Libro Secondo di Villanelle (1619)
"Borboni, Niccolò","Borboni, Niccolò",Severi - Salmi Passaggiati per Tutte le Voci (1615)
"Verovio, Simone","Verovio, Simone",Verovio - Diletto Spirituale (1583)
"Vincenti, Alessandro","Vincenti, Alessandro",Giacobbi - Dramatodia (1608)
"Magni, Bartolomeo","Magni, Bartolomeo",Andreini - Musiche composte per La Maddalena (1617)
"Magni, Bartolomeo","Magni, Bartolomeo",Guazzi - Spiritosi Affetti (1622)
"Amadino, Ricciardo","Amadino, Ricciardo",Brunetti - L'Euterpe (1606)
"Fei, Andrea","Fei, Andrea",Silvestri - Ariette di Musica (1646)
